,Rank,Athlete,Age,Team,Total Points,100-metres Rank,100-metres,100-metres PTS,long-jump Rank,long-jump,long-jump PTS,shot-put Rank,shot-put,shot-put PTS,high-jump Rank,high-jump,high-jump PTS,400-metres Rank,400-metres,400-metres PTS,110-metre-hurdles Rank,110-metre-hurdles,110-metre-hurdles PTS,discus-throw Rank,discus-throw,discus-throw PTS,pole-vault Rank,pole-vault,pole-vault PTS,javelin-throw Rank,javelin-throw,javelin-throw PTS,1500-metres Rank,1500-metres,1500-metres PTS,Competition,Date,Location
97,13,Luciano Paccagnella,21.0,Italy,6583.0,27T,11.93,665,21,6.73,750.0,5,14.18,739,10T,1.8,627,27,54.3,622.0,11T,15.98,735.0,4,45.67,797,13T,3.6,509.0,19,48.6,568.0,18,295.4,587.0,Olympics,1960-09-05,Rome
98,14,BjÃ¶rgvin HÃ³lm,25.0,Iceland,6639.0,27T,11.89,673,9T,6.93,797.0,12,13.58,703,16T,1.75,585,18T,51.8,727.0,18,16.37,692.0,12,39.5,612,18T,3.3,431.0,12,57.45,700.0,9,280.6,677.0,Olympics,1960-09-05,Rome
99,15,Herman Timme,27.0,Netherlands,6530.0,8T,11.43,767,9T,6.93,797.0,16,13.19,679,6T,1.83,653,15,51.2,754.0,11T,15.88,746.0,14,39.08,601,18T,3.3,431.0,15,51.74,614.0,22,321.4,443.0,Olympics,1960-09-05,Rome
100,16,Walter Meier,33.0,Germany,6149.0,8T,11.45,763,AC,,0.0,10,13.68,709,6T,1.83,653,4,49.5,831.0,16,16.11,720.0,13,39.18,603,11T,3.7,535.0,20,47.33,549.0,6,270.6,741.0,Olympics,1960-09-05,Rome
101,17,Hans Muchitsch,27.0,Austria,6341.0,17T,11.66,719,4,7.14,847.0,27,11.07,550,10T,1.8,627,16T,51.3,749.0,14,15.99,734.0,25,31.79,418,22T,3.2,406.0,23,38.44,420.0,2,263.3,789.0,Olympics,1960-09-05,Rome
102,18,LÃ©opold Marien,26.0,Belgium,6335.0,17T,11.63,725,23,6.62,725.0,25,11.44,572,16T,1.75,585,7T,50.5,785.0,8,15.66,772.0,23,34.28,477,18T,3.3,431.0,21,44.71,511.0,8,280.0,680.0,Olympics,1960-09-05,Rome
103,19,Juris Laipenieks,20.0,Chile,6349.0,22T,11.73,705,16,6.88,785.0,19,12.65,646,27T,1.65,504,23,53.2,667.0,22,17.22,602.0,9,40.49,640,18T,3.3,431.0,7,61.44,760.0,19,297.5,574.0,Olympics,1960-09-05,Rome
104,20,HÃ©ctor Thomas,21.0,Venezuela,6227.0,4T,11.22,812,19,6.81,769.0,13,13.42,693,16T,1.75,585,26,54.1,630.0,20T,17.01,623.0,8,40.77,648,22T,3.2,406.0,16,51.15,606.0,23,325.2,423.0,Olympics,1960-09-05,Rome
105,21,Rodolfo Mijares,22.0,Mexico,5967.0,8T,11.45,763,28,6.2,630.0,29,10.59,521,27T,1.65,504,7T,50.5,785.0,23,17.45,578.0,19,37.55,561,17,3.4,457.0,22,43.36,491.0,14,289.3,623.0,Olympics,1960-09-05,Rome
106,22,George Stulac,26.0,Canada,5814.0,29T,12.13,626,29,5.92,569.0,18,12.74,651,24T,1.7,544,22,53.0,676.0,26,18.57,471.0,20,37.35,555,13T,3.6,509.0,18,50.4,595.0,20,299.6,562.0,Olympics,1960-09-05,Rome
107,23,Panagiotis Epitropopoulos,22.0,Greece,5409.0,26,11.76,699,27,6.23,637.0,22,12.06,610,21T,1.73,569,24,53.6,650.0,24T,18.25,500.0,22,34.68,487,AC,,0.0,17,50.66,598.0,17,295.0,589.0,Olympics,1960-09-05,Rome
108,1,Robert ZmÄlÃ­k,23.0,Czechoslovakia,8611.0,4,10.78,910,1,7.87,1027.0000000000002,15,14.53,761,6T,2.06,859,8,48.65,878.0,1,13.95,981.0,10,45.0,767,2T,5.1,941.0,12,59.06,724.0,7,267.21,763.0,Olympics,1992-08-05,Barcelona
109,2,Antonio PeÃ±alver,23.0,Spain,8412.0,13T,11.09,841,4T,7.54,945.0,1,16.5,882,6T,2.06,859,17,49.66,830.0,4,14.58,901.0,3,49.68,864,6T,4.9,880.0,14,58.64,717.0,14,278.02,693.0,Olympics,1992-08-05,Barcelona
110,3,Dave Johnson,29.0,United States,8309.0,21,11.16,825,10T,7.33,893.0,8,15.28,807,12T,2.0,803,18T,49.76,826.0,9T,14.76,879.0,4,49.12,852,2T,5.1,941.0,2,62.86,781.0,13,276.63,702.0,Olympics,1992-08-05,Barcelona
111,4,DezsÅ SzabÃ³,24.0,Hungary,8199.0,13T,11.09,841,9,7.42,915.0,20,13.73,712,17T,1.97,776,5,48.24,898.0,14T,14.86,867.0,25,39.22,649,1,5.3,1004.0,11,59.14,725.0,3,259.96,812.0,Olympics,1992-08-05,Barcelona
112,5,Rob Muzzio,28.0,United States,8195.0,27,11.36,782,28T,6.94,799.0,2,16.02,852,12T,2.0,803,21,50.0,815.0,8,14.75,880.0,1,50.74,886,6T,4.9,880.0,6,61.64,763.0,11,271.52,735.0,Olympics,1992-08-05,Barcelona
113,6,Paul Meier,20.0,Germany,8192.0,3,10.75,917,4T,7.54,945.0,6,15.34,811,2,2.15,944,6T,48.33,893.0,23,15.22,823.0,18,42.14,708,15T,4.6,790.0,17,55.44,669.0,15,278.21,692.0,Olympics,1992-08-05,Barcelona
114,7,William Motti,27.0,France,8164.0,31,11.42,769,22T,7.13,845.0,4,15.44,817,3T,2.12,915,25,50.44,794.0,19,15.02,847.0,2,50.58,882,14,4.7,819.0,1,67.5,851.0,24,288.89,625.0,Olympics,1992-08-05,Barcelona
115,8,Ramil Ganiyev,23.0,Unified Team,8160.0,8T,10.97,867,7,7.49,932.0,17,14.35,750,3T,2.12,915,14,49.3,847.0,11T,14.78,876.0,8,45.08,768,6T,4.9,880.0,18,54.7,658.0,17,282.2,667.0,Olympics,1992-08-05,Barcelona
116,9,Sten Ekberg,27.0,Sweden,8136.000000000001,17,11.11,836,25T,7.02,818.0,18,14.32,748,9T,2.03,831,10,48.91,866.0,18,14.97,853.0,6T,45.76,783,6T,4.9,880.0,4,62.22,771.0,9,269.11,750.0,Olympics,1992-08-05,Barcelona
117,10,Rob de Wit,29.0,Netherlands,8109.0,13T,11.09,841,25T,7.02,818.0,3,15.48,819,12T,2.0,803,13,49.24,850.0,16,14.89,863.0,5,48.34,836,11T,4.8,849.0,7,61.36,758.0,16,281.39,672.0,Olympics,1992-08-05,Barcelona
118,11,Gernot Kellermayr,26.0,Austria,8076.000000000001,1,10.49,977,6,7.53,942.0,14,14.56,763,24T,1.91,723,2,47.91,913.0,6,14.64,894.0,9,45.06,768,11T,4.8,849.0,20,53.74,644.0,25,292.56,603.0,Olympics,1992-08-05,Barcelona
119,12,Viktor Radchenko,24.0,Unified Team,8071.0,25,11.3,795,10T,7.33,893.0,9,15.21,803,17T,1.97,776,26,50.62,786.0,11T,14.78,876.0,11,44.84,764,6T,4.9,880.0,3,62.56,776.0,12,273.49,722.0,Olympics,1992-08-05,Barcelona
120,13,Frank MÃ¼ller,24.0,Germany,8066.000000000001,6T,10.95,872,17,7.25,874.0,24,13.55,701,17T,1.97,776,3,47.98,910.0,3,14.51,910.0,16,42.56,717,15T,4.6,790.0,5,61.84,766.0,10,269.19,750.0,Olympics,1992-08-05,Barcelona
121,14,Andrei Nazarov,27.0,Estonia,8052.0,11,11.03,854,22T,7.13,845.0,27,13.11,674,5,2.09,887,11,49.03,860.0,5,14.6,899.0,13,44.58,758,11T,4.8,849.0,19,54.56,656.0,6,266.19,770.0,Olympics,1992-08-05,Barcelona
122,15,Alain Blondel,29.0,France,8031.000000000001,26,11.31,793,13,7.31,888.0,23,13.56,701,9T,2.03,831,12,49.19,852.0,2,14.5,911.0,26,37.78,620,2T,5.1,941.0,15,58.0,708.0,5,263.82,786.0,Olympics,1992-08-05,Barcelona
123,16,Ãlvaro Burrell,23.0,Spain,7952.000000000001,6T,10.95,872,3,7.56,950.0,16,14.41,753,9T,2.03,831,4,48.14,902.0,22,15.18,828.0,14,43.52,736,18T,4.5,760.0,27,45.66,525.0,4,262.42,795.0,Olympics,1992-08-05,Barcelona
124,17,Thorsten Dauth,24.0,Germany,7951.000000000001,5,10.8,906,14,7.3,886.0,7,15.29,808,17T,1.97,776,6T,48.33,893.0,9T,14.76,879.0,12,44.7,761,18T,4.5,760.0,21,52.94,632.0,19,284.91,650.0,Olympics,1992-08-05,Barcelona
125,18,David Bigham,21.0,Great Britain,7754.0,19T,11.14,830,16,7.26,876.0,30,12.56,640,23,1.94,749,1,47.73,922.0,17,14.94,857.0,27,37.42,612,18T,4.5,760.0,8T,60.52,746.0,8,267.42,762.0,Olympics,1992-08-05,Barcelona
126,19,Dean Smith,24.0,Australia,7702.999999999999,8T,10.97,867,8,7.43,918.0,21,13.67,708,24T,1.91,723,23,50.06,812.0,24,15.29,815.0,17,42.54,716,18T,4.5,760.0,8T,60.52,746.0,22,286.83,638.0,Olympics,1992-08-05,Barcelona
127,20,SÃ¡ndor MunkÃ¡csy,23.0,Hungary,7697.999999999999,18,11.13,832,15,7.28,881.0,31,12.56,640,24T,1.91,723,9,48.69,876.0,13,14.81,873.0,19,41.22,689,24,4.4,731.0,22,52.9,632.0,2,258.62,821.0,Olympics,1992-08-05,Barcelona
128,21,Beat GÃ¤hwiler,27.0,Switzerland,7676.0,33,11.56,740,24,7.07,830.0,29,12.92,662,30T,1.88,696,24,50.08,811.0,21,15.17,829.0,15,43.26,731,15T,4.6,790.0,13,58.82,720.0,1,252.07,867.0,Olympics,1992-08-05,Barcelona
129,22,Francisco Benet,24.0,Spain,7484.0,30,11.41,771,28T,6.94,799.0,28,12.99,667,24T,1.91,723,16,49.6,833.0,14T,14.86,867.0,21,40.1,667,18T,4.5,760.0,10,59.68,733.0,18,282.58,664.0,Olympics,1992-08-05,Barcelona
130,23,Alper KasapoÄlu,26.0,Turkey,7205.0,28T,11.4,774,20T,7.15,850.0,25,13.4,692,24T,1.91,723,30,51.54,745.0,25,15.42,799.0,23,39.8,660,18T,4.5,760.0,25,47.9,558.0,20,285.77,644.0,Olympics,1992-08-05,Barcelona
131,24,Albert Miller,34.0,Fiji,6971.0,28T,11.4,774,32,6.5,697.0,26,13.21,680,32T,1.82,644,27,50.76,780.0,20,15.08,840.0,22,39.9,663,29,3.8,562.0,16,57.8,705.0,23,288.81,626.0,Olympics,1992-08-05,Barcelona
132,25,Eric Momberger,23.0,Papua New Guinea,6780.0,32,11.55,742,34,6.33,659.0,22,13.57,702,30T,1.88,696,31,51.78,734.0,30,16.68,658.0,24,39.52,655,25,4.2,673.0,24,52.24,622.0,21,286.64,639.0,Olympics,1992-08-05,Barcelona
133,26,Homelo Vi,24.0,Tonga,6768.0,19T,11.14,830,30,6.91,792.0,33,11.97,605,32T,1.82,644,29,51.45,749.0,26,15.7,767.0,20,40.68,678,27T,4.0,617.0,23,52.32,623.0,28,317.57,463.0,Olympics,1992-08-05,Barcelona
134,27,Ibrahim Al-Matrooshi,22.0,United Arab Emirates,6124.0,34,11.63,725,33,6.37,668.0,35,8.62,403,24T,1.91,723,28,51.4,751.0,28,15.98,735.0,30,24.58,359,26,4.1,645.0,26,46.06,531.0,26,295.76,584.0,Olympics,1992-08-05,Barcelona
135,28,Jorge Flores,20.0,Honduras,5746.0,35,11.75,701,35,6.18,626.0,34,9.54,458,34,1.7,544,32,54.81,606.0,29,16.2,710.0,29,30.26,470,27T,4.0,617.0,28,42.46,478.0,27,304.1,536.0,Olympics,1992-08-05,Barcelona
136,1,Daley Thompson,21.0,Great Britain,8522.0,1,10.62,947,1,8.0,1061.0,5,15.18,801,2T,2.08,878,1,48.01,909.0,2,14.47,915.0,12,42.24,710,5T,4.7,819.0,6,64.16,801.0,10,279.9,681.0,Olympics,1980-07-25,Moscow
137,2,Yury Kutsenko,28.0,Soviet Union,8369.0,6,11.19,819,2,7.74,995.0,7,14.5,759,2T,2.08,878,3T,48.67,877.0,9,15.04,845.0,15,39.86,662,1T,4.9,880.0,2,68.08,860.0,1,262.6,794.0,Olympics,1980-07-25,Moscow
138,3,Sergey Zhelanov,23.0,Soviet Union,8135.0,16T,11.4,774,4,7.6,960.0,11,14.17,739,1,2.18,973,8,49.27,849.0,6T,14.83,870.0,10,42.8,722,7T,4.6,790.0,10,57.3,697.0,3,267.5,761.0,Olympics,1980-07-25,Moscow
139,4,Georg Werthner,24.0,Austria,8084.0,20,11.44,765,9T,7.27,878.0,15,13.45,695,8T,2.03,831,7,49.26,849.0,10,15.08,840.0,18,38.14,627,3,4.85,865.0,1,73.66,945.0,2,263.4,789.0,Olympics,1980-07-25,Moscow
